sim_time, iris/rotor_0?world_angular_velocity/z
1076.54, 65.2732
1076.54, 65.3403
1076.54, 65.3992
1076.55, 65.4507
1076.55, 65.4745
1076.56, 65.4297
1076.56, 65.3796
1076.56, 65.3496
1076.57, 65.331
1076.57, 65.3073
1076.58, 65.2468
1076.58, 65.1701
1076.58, 65.0929
1076.59, 65.1266
1076.59, 65.205
1076.6, 65.2506
1076.6, 65.2721
1076.6, 65.3089
1076.61, 65.3437
1076.61, 65.3382
1076.62, 65.3468
1076.62, 65.3489
1076.62, 65.316
1076.63, 65.263
1076.63, 65.1994
1076.64, 65.1488
1076.64, 65.1112
1076.64, 65.0876
1076.65, 65.1654
1076.65, 65.2173
1076.66, 65.2456
1076.66, 65.2717
1076.66, 65.2891
1076.67, 65.2818
1076.67, 65.281
1076.68, 65.2621
1076.68, 65.2276
1076.68, 65.1804
1076.69, 65.1283
1076.69, 65.0939
1076.7, 65.0877
1076.7, 65.073
1076.7, 65.0903
1076.71, 65.0791
1076.71, 65.0861
1076.72, 65.1756
1076.72, 65.2524
1076.72, 65.3095
1076.73, 65.3037
1076.73, 65.2719
1076.74, 65.2487
1076.74, 65.2222
1076.74, 65.2063
1076.75, 65.1856
1076.75, 65.1565
1076.76, 65.1259
1076.76, 65.1433
1076.76, 65.1687
1076.77, 65.2174
1076.77, 65.2671
1076.78, 65.2819
1076.78, 65.2554
1076.78, 65.2306
1076.79, 65.1983
1076.79, 65.17
1076.8, 65.1314
1076.8, 65.113
1076.8, 65.1087
1076.81, 65.089
1076.81, 65.0473
1076.82, 65.0086
1076.82, 65.0477
1076.82, 65.0915
1076.83, 65.1267
1076.83, 65.1702
1076.84, 65.1734
1076.84, 65.1619
1076.84, 65.1351
1076.85, 65.1161
1076.85, 65.0945
1076.86, 65.0901
1076.86, 65.1294
1076.86, 65.1717
1076.87, 65.1716
1076.87, 65.2591
1076.88, 65.3309
1076.88, 65.3775
1076.88, 65.3871
1076.89, 65.3866
1076.89, 65.3905
1076.9, 65.3911
1076.9, 65.3603
1076.9, 65.323
1076.91, 65.3008
1076.91, 65.2418
1076.92, 65.1765
1076.92, 65.1372
1076.92, 65.1343
1076.93, 65.2494
1076.93, 65.3419
1076.94, 65.4054
1076.94, 65.441
1076.94, 65.4686
1076.95, 65.4514
1076.95, 65.4191
1076.96, 65.3794
1076.96, 65.3471
1076.96, 65.3159
1076.97, 65.2655
1076.97, 65.2153
1076.98, 65.1669
1076.98, 65.1297
1076.98, 65.1802
1076.99, 65.2574
1076.99, 65.316
1077, 65.3431
1077, 65.3664
1077, 65.3559
1077.01, 65.3357
1077.01, 65.3274
1077.02, 65.3335
1077.02, 65.3313
1077.02, 65.3003
1077.03, 65.2702
1077.03, 65.244
1077.04, 65.23
1077.04, 65.2577
1077.04, 65.2507
1077.05, 65.2494
1077.05, 65.2743
1077.06, 65.2606
1077.06, 65.2575
1077.06, 65.2512
1077.07, 65.2414
1077.07, 65.2322
1077.08, 65.1813
1077.08, 65.1351
1077.08, 65.111
1077.09, 65.1067
1077.09, 65.1102
1077.1, 65.1572
1077.1, 65.156
1077.1, 65.15
1077.11, 65.1646
1077.11, 65.191
1077.12, 65.1811
1077.12, 65.1794
1077.12, 65.1674
1077.13, 65.1458
1077.13, 65.1219
1077.14, 65.0865
1077.14, 65.0782
1077.14, 65.074
1077.15, 65.0483
1077.15, 65.0976
1077.16, 65.1465
1077.16, 65.2027
1077.16, 65.2799
1077.17, 65.3198
1077.17, 65.2988
1077.18, 65.2919
1077.18, 65.3118
1077.18, 65.3044
1077.19, 65.2687
1077.19, 65.2111
1077.2, 65.178
1077.2, 65.1564
1077.2, 65.1434
1077.21, 65.1832
1077.21, 65.1828
1077.22, 65.1855
1077.22, 65.2261
1077.22, 65.2803
1077.23, 65.3001
1077.23, 65.315
1077.24, 65.3092
1077.24, 65.2889
1077.24, 65.2764
1077.25, 65.249
1077.25, 65.222
1077.26, 65.1849
1077.26, 65.1579
1077.26, 65.212
1077.27, 65.2308
1077.27, 65.2619
1077.28, 65.3253
1077.28, 65.3612
1077.28, 65.3291
1077.29, 65.2888
1077.29, 65.2579
1077.3, 65.2533
1077.3, 65.268
1077.3, 65.2358
1077.31, 65.1934
1077.31, 65.1464
1077.32, 65.0914
1077.32, 65.044
1077.32, 65.1262
1077.33, 65.1955
1077.33, 65.2063
1077.34, 65.2217
1077.34, 65.2394
1077.34, 65.3004
1077.35, 65.3371
1077.35, 65.3306
1077.36, 65.2989
1077.36, 65.2664
1077.36, 65.2254
1077.37, 65.1843
1077.37, 65.1586
1077.38, 65.2131
1077.38, 65.2701
1077.38, 65.3336
1077.39, 65.3762
1077.39, 65.3982
1077.4, 65.3904
1077.4, 65.3804
1077.4, 65.3582
1077.41, 65.3199
1077.41, 65.2706
1077.42, 65.2021
1077.42, 65.1474
1077.42, 65.0836
1077.43, 65.0159
1077.43, 65.0382
1077.44, 65.1187
1077.44, 65.1924
1077.44, 65.2002
1077.45, 65.1937
1077.45, 65.2251
1077.46, 65.2804
1077.46, 65.3399
1077.46, 65.3703
1077.47, 65.3587
1077.47, 65.3585
1077.48, 65.3629
1077.48, 65.3964
1077.48, 65.419
1077.49, 65.4164
1077.49, 65.4027
1077.5, 65.4025
1077.5, 65.3917
1077.5, 65.3597
1077.51, 65.2975
1077.51, 65.234
1077.52, 65.1697
1077.52, 65.1194
1077.52, 65.0911
1077.53, 65.1411
1077.53, 65.188
1077.54, 65.2379
